Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
,NEPSE Sensitive-INDEX during Sharwan  2063,,,,,,,
,(16 July 2006 to 16 Aug 2006),,,,,,,
,Date,Com.,  Manufacturing,Insurance,Finance,Dev.,SENSITIVE,
,Sharwan 063,Bank,& Processing,,,Bank,INDEX,
,2006-07-17 00:00:00,100,100,100,100,100,100,Base Index
,,,,,,,,
,NEPSE Sensitive-INDEX during Bhadra  2063,,,,,,,
,(16 Aug 2006 to 16 Sept 2006),,,,,,,
,Date,Com.,  Manufacturing,Insurance,Finance,Dev.,SENSITIVE,
,Bhadra 063,Bank,& Processing,,,Bank,INDEX,
,2006-09-12 00:00:00,97.79,100,102.29,100.03,113.78,98.34,
,2006-09-13 00:00:00,97.74,100,102.46,99.87,115.14,98.32,
,2006-09-14 00:00:00,97.6,100,102.56,100.03,114.86,98.21,
,,,,,,,,
,NEPSE Sensitive-INDEX during Aswin 2063,,,,,,,
,(16 Sept 2006 to 16 Oct),,,,,,,
,Date,Com.,  Manufacturing,Insurance,Finance,Dev.,SENSITIVE,
,Aswin 063,Bank,& Processing,,,Bank,INDEX,
,2006-09-17 00:00:00,*,*No Trading due,,,,,
,2006-09-18 00:00:00,99.67,97.86,102.56,100.17,115.41,99.93,
,2006-09-19 00:00:00,101.83,97.86,102.56,99.97,115.41,101.8,
,2006-09-20 00:00:00,101.97,97.86,102.39,100.11,115.68,101.92,
,2006-09-21 00:00:00,101.59,97.86,102.23,101.27,115.14,101.63,
,2006-09-24 00:00:00,101.47,97.86,102.23,101.39,115.14,101.53,
,2006-09-25 00:00:00,101.73,97.86,102.23,101.45,115.14,101.76,
,2006-09-26 00:00:00,101.99,97.86,102.23,101.32,114.05,101.96,
,2006-09-28 00:00:00,102.5,97.86,102.23,101.2,115.41,102.42,
,2006-10-08 00:00:00,103.72,97.86,102.23,101.22,115.41,103.47,
,2006-10-09 00:00:00,104.07,97.86,102.23,101.42,113.78,103.77,
,2006-10-10 00:00:00,104.08,97.86,102.02,101.39,115.41,103.78,
,2006-10-11 00:00:00,103.5,97.86,101.92,101.49,115.41,103.28,
,2006-10-12 00:00:00,103.65,101.42,101.92,101.63,115.41,103.55,
,2006-10-15 00:00:00,103.73,101.42,102.01,101.86,118.92,103.68,
,2006-10-16 00:00:00,103.26,101.42,101.93,102.39,118.92,103.29,
,2006-10-17 00:00:00,103.35,101.42,101.63,102.37,117.84,103.34,
,,,,,,,,
,NEPSE Sensitive-INDEX during Kartik 2063,,,,,,,
,(18 Oct 2006 to 16 Nov 2006 ),,,,,,,
,Date,Com.,  Manufacturing,Insurance,Finance,Dev.,SENSITIVE,
,Kartik 063,Bank,& Processing,,,Bank,INDEX,
,2006-10-18 00:00:00,103.28,99.64,101.63,102.36,117.84,103.22,
,2006-10-19 00:00:00,103.89,97.15,101.63,102.46,117.84,103.66,
,2006-10-26 00:00:00,104.37,97.15,101.63,102.46,117.84,104.07,
,2006-10-29 00:00:00,105.07,97.15,101.63,102.32,118.11,104.68,
,2006-10-30 00:00:00,105.8,97.15,101.63,102.34,118.38,105.31,
,2006-10-31 00:00:00,106.73,97.15,101.63,102.38,118.92,106.13,
,2006-11-01 00:00:00,103.7,97.15,101.63,102.38,120.27,103.52,
,2006-11-02 00:00:00,107.6,97.15,101.63,102.5,121.62,106.92,
,2006-11-05 00:00:00,108.28,97.15,99.7,102.42,121.89,107.43,
,2006-11-06 00:00:00,109.74,97.15,99.69,102.4,122.7,108.7,
,2006-11-07 00:00:00,111.38,97.15,100.53,102.46,122.97,110.16,
,2006-11-08 00:00:00,115.73,97.86,98.68,102.36,124.32,113.88,
,2006-11-09 00:00:00,118.9,97.86,100.45,102.22,130.54,116.76,
,2006-11-12 00:00:00,120.44,97.86,100.53,102.36,133.24,118.13,
,2006-11-13 00:00:00,116.8,97.86,100.63,102.51,135.68,115.03,
,2006-11-14 00:00:00,117.18,87.86,102.39,102.67,135.68,115.44,
,2006-11-15 00:00:00,116.87,97.86,103.23,102.84,147.03,115.35,
,2006-11-16 00:00:00,116.61,97.86,103.15,103.03,154.32,115.21,
,,,,,,,,
,NEPSE Sensitive-INDEX during Magsir 2063,,,,,,,
,(18 Oct 2006 to 16 Nov 2006 ),,,,,,,
,Date,Com.,  Manufacturing,Insurance,Finance,Dev.,SENSITIVE,
,Mangsir 063,Bank,& Processing,,,Bank,INDEX,
,2006-11-19 00:00:00,116.76,97.86,103.25,102.99,154.32,115.34,
,2006-11-20 00:00:00,115.82,97.86,103.26,102.94,162.16,114.62,
,2006-11-21 00:00:00,115.96,97.86,103.26,102.97,170.27,114.85,
,2006-11-23 00:00:00,118.15,97.86,103.42,103.03,175.95,116.82,
,2006-11-26 00:00:00,121.1,97.86,103.42,103.03,193.24,119.57,
,2006-11-27 00:00:00,122.67,97.86,103.68,102.98,202.7,121.05,
,2006-11-28 00:00:00,124.98,97.86,104.6,103.3,202.7,123.11,
,2006-11-29 00:00:00,129.44,97.86,104.6,103.3,217.57,127.14,
,2006-11-30 00:00:00,127.27,97.86,104.6,103.28,216.22,125.24,
,2006-12-03 00:00:00,125.24,97.86,104.6,103.28,209.46,123.41,
,2006-12-04 00:00:00,124.18,97.86,104.6,103.85,211.89,122.55,
,2006-12-05 00:00:00,123.52,97.86,104.6,103.91,213.51,122,
,2006-12-06 00:00:00,122.9,97.86,106.43,103.39,217.57,121.56,
,2006-12-07 00:00:00,123.66,98.04,107.69,104.27,218.92,122.23,
,2006-12-10 00:00:00,125.17,98.04,107.69,104.78,218.92,123.66,
,2006-12-11 00:00:00,126.66,98.04,109.97,104.94,218.92,125.02,
,2006-12-12 00:00:00,129.02,98.04,110.23,104.94,218.92,127.1,
,2006-12-13 00:00:00,130.96,98.04,112.74,105.09,218.92,128.89,
,2006-12-14 00:00:00,132.36,99.64,112.91,106,202.7,130.01,
,,,,,,,,
,NEPSE Sensitive-INDEX during Poush 2063,,,,,,,
,(16 Dec 2006 to 16 Jan 2007 ),,,,,,,
,Date,Com.,  Manufacturing,Insurance,Finance,,Dev.,SENSITIVE
,Poush 063,Bank,& Processing,,,,Bank,INDEX
,2006-12-17 00:00:00,133.92,99.64,112.91,106.05,,206.49,131.41
,2006-12-18 00:00:00,134.06,99.64,118.7,107.23,,203.51,131.78
,2006-12-19 00:00:00,132.4,112,124.48,109.38,,193.08,131.14
,2006-12-20 00:00:00,130.13,112,125.29,110.9,,207.69,129.45
,2006-12-21 00:00:00,130.77,112,126.26,110.9,,205.38,130.02
,2006-12-24 00:00:00,131.56,112,127.4,115.62,,208.97,131.02
,2006-12-25 00:00:00,131.89,112,127.4,116.66,,206.41,131.33
,2006-12-26 00:00:00,131.57,112,127.7,116.66,,206.41,131.06
,2006-12-27 00:00:00,130.13,114,138.86,120.21,,210,130.51
,2006-12-28 00:00:00,130.13,114,138.86,120.21,,210,130.51
,2006-12-31 00:00:00,129.28,114,139.14,120.5,,210,129.79
,2007-01-01 00:00:00,128.78,114,142.22,121.72,,211.79,129.56
,2007-01-02 00:00:00,127.25,114,145.3,125.16,,222.31,128.64
,2007-01-03 00:00:00,125.44,114,154.65,126.36,,232.31,127.61
,2007-01-04 00:00:00,127.29,116,158.61,128.35,,232.05,129.53
,2007-01-07 00:00:00,129.24,116,158.61,132.28,,235.9,131.46
,2007-01-08 00:00:00,130.04,116,160.54,133.45,,243.59,132.38
,2007-01-09 00:00:00,131.58,116,160.52,137.36,,243.59,133.91
,2007-01-10 00:00:00,132.06,116,164.34,141.74,,247.44,134.73
,2007-01-11 00:00:00,131.12,116,165.84,147.46,,248.72,134.26
,2007-01-14 00:00:00,131.53,116,172.44,153.33,,248.72,135.14
,BASE: 16 JULY 2006 (32 ASHADH 2063,,,,,,,
,,,,,,,,
,,,,,,,,
,NEPSE Sensitive-INDEX during Magh 2063,,,,,,,
,(15 Jan 2007 to 12 Feb 2007 ),,,,,,,
,Date,Com.,  Manufacturing,Insurance,Finance,,Dev.,SENSITIVE
,Magh 2063,Bank,& Processing,,,,Bank,INDEX
,2007-01-15 00:00:00,131.58,116,172.42,153.64,,248.72,135.2
,2007-01-17 00:00:00,131.29,116,172.5,153.92,,248.72,134.97
,2007-01-18 00:00:00,130.71,116,171.24,154.13,,248.72,134.42
,2007-01-21 00:00:00,129.27,116,172.92,152.79,,242.31,133.09
,2007-01-22 00:00:00,128.78,116,174.24,147.93,,241.03,132.47
,2007-01-24 00:00:00,128.65,116,174.24,144.89,,238.46,132.18
,2007-01-25 00:00:00,128.01,116,168.95,146.62,,238.46,131.46
,2007-01-28 00:00:00,127.28,116,168.95,146.94,,237.18,130.82
,2007-01-29 00:00:00,125.3,116,162.91,146.87,,238.21,128.87
,2007-01-31 00:00:00,125.67,116,163,148.43,,238.21,129.27
,2007-02-01 00:00:00,127.17,116,163.93,149.88,,236.67,130.66
,2007-02-04 00:00:00,126.59,116,164.01,150.28,,236.67,130.18
,2007-02-05 00:00:00,126.2,116,163.7,152.38,,239.74,129.96
,2007-02-06 00:00:00,126.14,116,161.98,154.56,,243.59,129.99
,2007-02-07 00:00:00,125.84,116,161.14,156.69,,243.59,129.8
,2007-02-08 00:00:00,126.8,116,161.82,157.1,,243.59,130.68
,2007-02-11 00:00:00,127.19,116,162.44,159.19,,243.59,131.14
,2007-02-12 00:00:00,126.94,116,163.55,160.26,,243.59,131.02
,BASE: 16 JULY 2006 (32 Ashadh 2063),,,,,,,
,,,,,,,,
,NEPSE Sensitive-INDEX during Falgun 2063,,,,,,,
,(13 Feb 2007 to 14 March 2007 ),,,,,,,
,Date,Com.,Manufacturing,Insurance,Finance,Hydro,Dev.,Sensitive
,Falgun 063,Bank,& Processing,,,Power,Bank,INDEX
,2007-02-13 00:00:00,128.77,116.04,112.91,155.9,131.02,232.62,130.72
,2007-02-14 00:00:00,129.19,116.04,112.93,157.09,128.58,232.96,131
,2007-02-15 00:00:00,129.37,116.04,113.1,157.41,127.77,232.96,131.13
,2007-02-18 00:00:00,128.32,116.04,182.99,157.63,126.14,232.96,132.88
,2007-02-20 00:00:00,127.34,116.04,123.69,158.86,123.7,232.96,129.85
,2007-02-21 00:00:00,126.24,116.04,128.05,157.69,122.07,228.3,128.9
,2007-02-22 00:00:00,126.35,116.04,128.29,159.45,122.07,228.3,129.11
,2007-02-25 00:00:00,126.11,116.04,128.71,159.45,122.07,228.3,129.11
,2007-02-26 00:00:00,125.99,116.04,129.1,160.65,122.07,228.78,128.92
,2007-02-27 00:00:00,124.75,120,129.58,161.17,121.26,229.17,128.03
,2007-02-28 00:00:00,124.56,126,129.58,161.49,121.26,229.17,128.07
,2007-03-01 00:00:00,123.4,132,129.96,158.16,121.26,229.61,127.12
,2007-03-04 00:00:00,122.6,132,130.43,157.44,118.82,214.47,126.13
,2007-03-05 00:00:00,120.06,134.64,130.68,155.01,117.19,214.9,123.93
,2007-03-06 00:00:00,116.1,134.64,130.88,152.89,116.37,204.89,120.44
,2007-03-07 00:00:00,112.7,134.64,130.88,153.32,115.56,199.08,117.59
,2007-03-08 00:00:00,116.74,134.64,131.14,153.49,118.82,194.42,121
,2007-03-11 00:00:00,119.86,134.64,131.04,154.65,122.07,194.19,123.77
,2007-03-12 00:00:00,121.18,136,131.08,155.59,123.7,196.75,125.05
,2007-03-13 00:00:00,120.76,138,131.12,155.53,123.7,197.92,124.78
,2007-03-14 00:00:00,119.27,138,121.3,155.49,123.7,197.92,123.21
,,,,,,,,
,NEPSE Sensitive-INDEX during Chaitra 2063,,,,,,,
,(15 March 2007 to 12 Apr 2007),,,,,,,
,Date,Com.,Manufacturing,Insurance,Finance,Hydro,Dev.,Sensitive
,Chaitra 2063,Bank,& Processing,,,Power,Bank,INDEX
,2007-03-15 00:00:00,118.92,138,121.19,154.68,122.07,196.17,122.79
,2007-03-21 00:00:00,118.6,138,121.68,154.77,120.61,196.17,122.45
,2007-03-22 00:00:00,117.18,138,121.29,153.63,117.35,193.84,121.02
,2007-03-25 00:00:00,118.17,138,121.68,154.35,118.82,196.17,121.98
,2007-03-28 00:00:00,115.31,138,121.29,152.41,115.56,192.68,119.31
,2007-03-29 00:00:00,115.12,136,121.23,150.74,113.93,195,118.95
,2007-04-01 00:00:00,122.13,136,121.23,151.27,120.44,194.07,125
,2007-04-02 00:00:00,124.38,128.2,121.23,152.24,118.82,194.56,126.57
,2007-04-03 00:00:00,122.4,126.4,121.23,150.51,118,190.83,124.72
,2007-04-04 00:00:00,118.77,124.8,121.23,150.31,118,186.71,121.68
,2007-04-05 00:00:00,118.03,124,121.23,150.26,116.37,183.91,120.93
,2007-04-08 00:00:00,117.85,124,121.23,150.03,116.37,182.05,120.75
,2007-04-09 00:00:00,117.73,124,121.12,149.61,115.56,177.39,120.52
,2007-04-10 00:00:00,117.87,122,121.12,147.02,115.56,169.91,120.38
,2007-04-11 00:00:00,118.87,122,120.84,145.02,115.56,169.91,121.07
,2007-04-12 00:00:00,120.92,124,120.84,144.56,118,154.92,122.69
,,,,,,,,
,NEPSE Sensitive-INDEX during Baishakh 2064,,,,,,,
,(15 Apr 2007 to 14 May 2007),,,,,,,
,Date,Com.,Manufacturing,Insurance,Finance,Hydro,Dev.,Sensitive
,Baishakh 064,Bank,& Processing,,,Power,Bank,INDEX
,2007-04-15 00:00:00,122.29,124,120.84,144.68,118.82,154.69,123.85
,2007-04-16 00:00:00,122.49,124,120.84,144.8,118,154.27,123.97
,2007-04-17 00:00:00,122.95,124,120.84,145.05,118,150.58,124.31
,2007-04-18 00:00:00,123.8,124,120.84,145.16,118,151.03,125.01
,2007-04-19 00:00:00,124.56,124,120.84,146.65,118,152.06,125.73
,2007-04-22 00:00:00,124.41,124,118.85,146.93,117.19,153.4,125.54
,2007-04-23 00:00:00,124.05,124,118.85,146.9,117.19,153.4,125.24
,2007-04-25 00:00:00,124.38,124,118.9,146.86,115.56,156.58,125.46
,2007-04-26 00:00:00,125.61,124,118.94,148.88,117.19,159.72,126.71
,2007-04-29 00:00:00,126.75,124,113.9,150.58,119.63,159.72,127.69
,2007-04-30 00:00:00,128.19,124,114.15,152.71,119.14,158.6,128.96
,2007-05-03 00:00:00,128.89,124,110.72,153.21,119.63,158.6,129.46
,2007-05-06 00:00:00,128.97,124,111.04,153.76,119.79,157.48,129.57
,2007-05-07 00:00:00,129.25,124,111.04,154.51,120.61,156.35,129.87
,2007-05-08 00:00:00,129.34,124,111.04,154.47,123.7,156.35,130.09
,2007-05-09 00:00:00,129.53,124,109.03,154.71,126.14,157.7,130.34
,2007-05-10 00:00:00,129.42,124,109.03,150.12,127.77,158.82,130.09
,2007-05-13 00:00:00,128.89,124,108.83,150.02,128.58,158.85,129.69
,2007-05-14 00:00:00,127.53,124,109.03,150.16,128.58,159.12,128.59
,,,,,,,,
,NEPSE Sensitive-INDEX during Jestha 2064,,,,,,,
,(15 May 2007 to 14 June 2007),,,,,,,
,Date,Com.,Manufacturing,Insurance,Finance,Hydro,Dev.,Sensitive
,Jestha 2064,Bank,& Processing,,,Power,Bank,INDEX
,2007-05-15 00:00:00,127.01,124,108.19,150.7,128.58,159.62,128.18
,2007-05-16 00:00:00,127.45,124,107.57,150.9,128.58,159.84,128.53
,2007-05-17 00:00:00,128.15,124,107.57,151.92,127.77,159.84,129.12
,2007-05-20 00:00:00,129.98,124,107.57,153,126.14,160.29,130.59
,2007-05-21 00:00:00,130.17,124,106.32,153.21,124.51,160.74,130.64
,2007-05-22 00:00:00,129.8,124,106.48,153.21,122.89,161.41,130.26
,2007-05-23 00:00:00,129.65,124,106.48,153.32,123.7,162.76,130.21
,2007-05-24 00:00:00,129.99,124,106.48,153.1,126.14,162.98,130.62
,2007-05-27 00:00:00,129.99,124,106.48,153.1,126.14,162.98,130.62
,2007-05-28 00:00:00,130.7,124,106.59,153.26,124.14,165.9,131.25
,2007-05-29 00:00:00,132.9,124,106.7,153.38,126.95,167.81,133.12
,2007-05-30 00:00:00,136.07,124,106.7,153.86,127.28,173.42,135.83
,2007-05-31 00:00:00,135.93,124,106.6,154.47,128.58,187.76,136.01
,2007-06-03 00:00:00,135.25,124,107.04,154.61,128.58,188.3,135.48
,2007-06-04 00:00:00,136.28,124,107.54,154.47,128.58,187.76,136.01
,2007-06-05 00:00:00,136.85,124,107.35,156.39,129.88,184.53,136.92
,2007-06-06 00:00:00,138.71,124,107.44,156.49,130.21,184.09,138.45
,2007-06-07 00:00:00,139.36,130,107.44,156.53,129.4,186.06,139.13
,2007-06-10 00:00:00,141.93,130,107.36,157.16,131.84,186.06,141.38
,2007-06-11 00:00:00,143.7,130,107.36,157.17,135.09,186.06,142.99
,2007-06-12 00:00:00,146.45,130,107.29,157.3,135.09,186.06,145.24
,2007-06-13 00:00:00,149.72,130,107.62,157.68,139.98,187.18,148.21
,2007-06-14 00:00:00,146.91,130,107.62,157.68,133.46,187.18,145.58
,,,,,,,,
,NEPSE Sensitive-INDEX during Ashadh 2064,,,,,,,
,(15 June 2007 to 16 July 2007),,,,,,,
,Date,Com.,Manufacturing,Insurance,Finance,Hydro,Dev.,Sensitive
,Ashadh 2064,Bank,& Processing,,,Power,Bank,INDEX
,2007-06-17 00:00:00,145,130,107.72,157.92,131.84,188.3,143.97
,2007-06-18 00:00:00,142.69,130,108.12,157.89,135.91,188.3,142.31
,2007-06-19 00:00:00,144.02,130,108.14,157.89,138.51,187.93,143.53
,2007-06-20 00:00:00,147.87,130,108.14,158.24,142.42,187.93,146.87
,2007-06-21 00:00:00,149.44,130,108.14,158.24,140.79,190.17,148.11
,2007-06-24 00:00:00,149.11,130,109.31,158.42,144.86,190.17,148.11
,2007-06-25 00:00:00,150.57,130,109.48,158.6,144.86,193.12,149.35
,2007-06-26 00:00:00,150.9,132,109.74,159.04,144.86,194.24,149.73
,2007-06-27 00:00:00,150.4,132,109.88,159.13,144.86,195.37,149.34
,2007-06-28 00:00:00,Market remain closed due to SEBO brings new regulation which cant be adopted without required amendment.,,,,,,
,2007-07-01 00:00:00,150.57,132,110.57,159.12,144.86,195.37,149.5
,2007-07-02 00:00:00,152.22,132,110.98,159,144.86,195.37,150.86
,2007-07-03 00:00:00,153.38,132,111.82,158.78,141.6,195.48,151.65
,2007-07-04 00:00:00,156.04,135.2,111.82,158.78,146.49,193.24,154.12
,2007-07-05 00:00:00,156.91,135.2,111.9,159.08,144.04,193.24,154.72
,2007-07-09 00:00:00,157.4,136,111.9,159,146.49,193.24,155.27
,2007-07-10 00:00:00,159.27,136,111.92,159.91,148.93,193.24,156.97
,2007-07-11 00:00:00,163.54,136,111.92,160.41,149.74,193.24,160.52
,2007-07-12 00:00:00,167.06,136,111.92,160.07,148.93,192.11,163.31
,2007-07-15 00:00:00,171.61,136,111.92,160.15,153,192.11,167.23
,2007-07-16 00:00:00,181.07,136,113.18,160.74,153,196.64,175.08
